Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1970 [YR1970]","1980 [YR1980]","1990 [YR1990]","2000 [YR2000]","2001 [YR2001]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]"
"Population, total","SP.POP.TOTL","Mozambique","MOZ","7493278","9262078","11936379","13371971","18264536","18792357","21737860","22359637","22994867","23647815","24321457","25016921","25732928","26467180","27216276",".."
"Population, total","SP.POP.TOTL","Myanmar","MMR","21486424","27166045","34470694","42007309","47669791","48195684","50355559","50698814","51030006","51369725","51733013","52125411","52543841","52983829","53437159",".."
"Population, total","SP.POP.TOTL","Namibia","NAM","602545","780386","1012761","1415447","1897953","1931005","2053915","2083174","2115703","2152357","2193643","2240161","2291645","2346592","2402858",".."
"Population, total","SP.POP.TOTL","Nepal","NPL","10056945","11986974","14890080","18741688","23740145","24140941","25794344","26063619","26325183","26592666","26875910","27179237","27500515","27834981","28174724",".."
"Population, total","SP.POP.TOTL","Netherlands","NLD","11486631","13038526","14149800","14951510","15925513","16046180","16346101","16381696","16445593","16530388","16615394","16693074","16754962","16804432","16854183",".."
"Population, total","SP.POP.TOTL","New Caledonia","NCL","79000","112000","140050","170899","213230","217324","235314","238902","242546","246245","250000","254000","258000","262000","266000",".."
"Population, total","SP.POP.TOTL","New Zealand","NZL","2371800","2810700","3112900","3329800","3857700","3880500","4184600","4223800","4259800","4302600","4350700","4384000","4408100","4442100","4509700",".."
"Population, total","SP.POP.TOTL","Nicaragua","NIC","1774696","2398095","3249910","4144564","5026792","5100750","5450217","5522119","5594524","5666595","5737722","5807787","5877034","5945646","6013913",".."
"Population, total","SP.POP.TOTL","Niger","NER","3395212","4497355","5963159","7911884","11224523","11642308","13995530","14527631","15085130","15672194","16291990","16946485","17635782","18358863","19113728",".."
"Population, total","SP.POP.TOTL","Nigeria","NGA","45211614","56131844","73698096","95617345","122876723","126014935","143318011","147152502","151115683","155207145","159424742","163770669","168240403","172816517","177475986",".."
"Population, total","SP.POP.TOTL","Northern Mariana Islands","MNP","10070","13203","17048","43972","68434","68817","62235","59791","57343","55276","53860","53234","53314","53869","54541",".."
"Population, total","SP.POP.TOTL","Norway","NOR","3581239","3875763","4085620","4241473","4490967","4513751","4660677","4709153","4768212","4828726","4889252","4953088","5018573","5079623","5136475",".."
"Population, total","SP.POP.TOTL","Oman","OMN","551737","723850","1154375","1812159","2239403","2272547","2553376","2593750","2652281","2762073","2943747","3210003","3545192","3906912","4236057",".."
"Population, total","SP.POP.TOTL","Pakistan","PAK","44911810","58094239","78071984","107607639","138250487","141282077","156524189","159767672","163096985","166520983","170043918","173669648","177392252","181192646","185044286",".."
"Population, total","SP.POP.TOTL","Palau","PLW","9638","11481","12197","15089","19174","19404","20012","20118","20227","20344","20470","20606","20756","20919","21097",".."
"Population, total","SP.POP.TOTL","Panama","PAN","1132924","1519293","1978575","2471010","3028751","3086887","3378600","3438398","3498679","3559401","3620506","3681979","3743761","3805683","3867535",".."
"Population, total","SP.POP.TOTL","Papua New Guinea","PNG","1966957","2434755","3215483","4157903","5374051","5512835","6236158","6387470","6540267","6693799","6847517","7001172","7154870","7308864","7463577",".."
"Population, total","SP.POP.TOTL","Paraguay","PRY","1902871","2474102","3180628","4213740","5302703","5406625","5882797","5966160","6047131","6127847","6209877","6293763","6379162","6465669","6552518",".."
